sample_id,verdict,confidence,predicted_cwe,need_more_context
diversevul_103343,benign,0.95,,False
diversevul_150757,uncertain,0.6,,True
diversevul_794,benign,0.9,,False
diversevul_9325,benign,0.9,,False
diversevul_224521,uncertain,0.3,CWE-120,True
diversevul_263914,benign,0.9,,False
diversevul_274787,benign,0.7,,False
diversevul_72179,uncertain,0.5,,True
diversevul_137811,uncertain,0.3,CWE-120,True
diversevul_162869,vulnerable,0.7,CWE-125,False
diversevul_179548,benign,0.95,,False
diversevul_242881,vulnerable,0.8,CWE-805,False
diversevul_14769,benign,0.95,,False
diversevul_282858,benign,0.9,,False
diversevul_174644,benign,0.9,,False
diversevul_238468,uncertain,0.3,,True
diversevul_313407,benign,0.9,,False
diversevul_90023,benign,0.7,,False
diversevul_9891,vulnerable,0.95,CWE-126,False
diversevul_218777,benign,0.7,,False
diversevul_162906,benign,0.9,,False
diversevul_291227,benign,0.7,,False
diversevul_272743,vulnerable,0.95,CWE-125,False
diversevul_135218,uncertain,0.6,,True
diversevul_321062,benign,0.9,,False
diversevul_11768,benign,0.9,,False
diversevul_215425,uncertain,0.5,,True
diversevul_35400,benign,1.0,,False
diversevul_258031,benign,0.95,,False
diversevul_134229,benign,0.95,,False
diversevul_301654,uncertain,0.3,,True
diversevul_247867,benign,0.9,,False
diversevul_1199,vulnerable,0.9,CWE-476,False
diversevul_232591,benign,0.95,,False
diversevul_15886,uncertain,0.3,,True
diversevul_4760,vulnerable,0.7,CWE-252,False
diversevul_173495,benign,0.9,,False
diversevul_15388,benign,0.9,,False
diversevul_309922,uncertain,0.6,CWE-190,True
diversevul_271822,benign,0.95,,False
diversevul_175537,benign,0.95,,False
diversevul_8811,benign,0.95,,False
diversevul_297581,uncertain,0.5,,True
diversevul_229678,benign,0.8,,False
diversevul_218589,benign,0.95,,False
diversevul_211567,benign,0.9,,False
diversevul_12239,benign,0.9,,False
diversevul_62124,benign,0.95,,False
diversevul_90380,vulnerable,0.9,CWE-190,False
diversevul_73525,uncertain,0.5,,True
