dataset,sample_id,verdict,confidence,predicted_cwe,need_more_context
devign,devign_20680,benign,0.9,,False
devign,devign_1024,benign,0.95,,False
devign,devign_133,benign,1.0,,False
devign,devign_17412,vulnerable,0.8,CWE-190,False
devign,devign_15827,benign,0.95,,False
devign,devign_12061,benign,1.0,,False
devign,devign_9445,benign,0.95,,False
devign,devign_765,vulnerable,0.9,CWE-190,False
devign,devign_8810,vulnerable,0.7,CWE-252,False
devign,devign_7854,uncertain,0.5,,True
devign,devign_21153,benign,1.0,,False
devign,devign_12554,benign,0.95,,False
devign,devign_1911,vulnerable,0.95,CWE-457,False
devign,devign_12356,vulnerable,0.95,CWE-125,False
devign,devign_20099,benign,0.95,,False
devign,devign_21768,benign,0.6,,False
devign,devign_22521,vulnerable,0.8,CWE-190,False
devign,devign_9602,benign,0.9,,False
devign,devign_1625,vulnerable,0.85,CWE-190,False
devign,devign_18386,benign,0.95,,False
devign,devign_15372,uncertain,0.4,,True
devign,devign_6679,vulnerable,0.9,CWE-122,False
devign,devign_19811,uncertain,0.5,,True
devign,devign_23428,benign,0.9,,False
devign,devign_1043,benign,0.7,,False
devign,devign_17477,uncertain,0.6,,True
devign,devign_19699,benign,0.95,,False
devign,devign_25270,benign,0.9,,False
devign,devign_22454,uncertain,0.5,,True
devign,devign_16170,benign,0.95,,False
devign,devign_15684,vulnerable,0.9,CWE-125,False
devign,devign_17908,vulnerable,0.95,CWE-121,False
devign,devign_3901,vulnerable,0.7,CWE-190,False
devign,devign_3913,vulnerable,0.85,CWE-190,False
devign,devign_24176,benign,0.9,,False
devign,devign_10997,uncertain,0.5,,True
devign,devign_19900,benign,0.9,,False
devign,devign_12068,uncertain,0.6,,True
devign,devign_2675,benign,0.95,,False
devign,devign_14595,benign,0.95,,False
devign,devign_27131,uncertain,0.3,,True
devign,devign_21467,uncertain,0.4,,True
devign,devign_12352,uncertain,0.3,,True
devign,devign_26564,benign,0.9,,False
devign,devign_8089,uncertain,0.5,,True
devign,devign_22917,vulnerable,0.9,CWE-416,False
devign,devign_9023,uncertain,0.6,,True
devign,devign_19656,benign,0.9,,False
devign,devign_10096,uncertain,0.0,,True
devign,devign_11033,vulnerable,0.9,CWE-122,False
bigvul,bigvul_95092,benign,0.9,,False
bigvul,bigvul_62396,benign,0.95,,False
bigvul,bigvul_33602,uncertain,0.0,,True
bigvul,bigvul_64612,benign,0.7,,False
bigvul,bigvul_187608,benign,0.9,,False
bigvul,bigvul_1222,vulnerable,0.7,CWE-415,False
bigvul,bigvul_187347,vulnerable,0.85,CWE-22,False
bigvul,bigvul_183634,benign,0.7,,False
bigvul,bigvul_183009,benign,0.95,,False
bigvul,bigvul_97054,benign,0.95,,False
bigvul,bigvul_6577,benign,0.95,,False
bigvul,bigvul_10336,benign,0.95,,False
bigvul,bigvul_134362,benign,0.95,,False
bigvul,bigvul_51406,uncertain,0.3,CWE-122,True
bigvul,bigvul_89027,benign,0.95,,False
bigvul,bigvul_88835,benign,0.8,,False
bigvul,bigvul_186411,benign,0.9,,False
bigvul,bigvul_169566,benign,0.9,,False
bigvul,bigvul_187901,uncertain,0.3,CWE-120,True
bigvul,bigvul_180289,vulnerable,0.95,CWE-94,False
bigvul,bigvul_168864,uncertain,0.5,,True
bigvul,bigvul_177214,benign,0.9,,False
bigvul,bigvul_70366,uncertain,0.5,,True
bigvul,bigvul_79737,benign,0.9,,False
bigvul,bigvul_2413,benign,0.8,,False
bigvul,bigvul_180303,vulnerable,0.9,CWE-122,False
bigvul,bigvul_66924,benign,0.9,,False
bigvul,bigvul_40292,benign,0.9,,False
bigvul,bigvul_88391,uncertain,0.5,,True
bigvul,bigvul_113017,benign,0.95,,False
bigvul,bigvul_150872,benign,0.95,,False
bigvul,bigvul_186537,benign,0.9,,False
bigvul,bigvul_35981,vulnerable,0.7,CWE-457,False
bigvul,bigvul_105834,benign,0.95,,False
bigvul,bigvul_162596,benign,0.9,,False
bigvul,bigvul_183194,benign,0.8,,False
bigvul,bigvul_11872,benign,0.95,,False
bigvul,bigvul_74159,vulnerable,0.95,CWE-416,False
bigvul,bigvul_56653,benign,0.8,,False
bigvul,bigvul_113938,benign,0.9,,False
bigvul,bigvul_96050,benign,0.9,,False
bigvul,bigvul_157039,uncertain,0.6,,True
bigvul,bigvul_81956,vulnerable,0.8,CWE-190,False
bigvul,bigvul_167024,uncertain,0.0,,True
bigvul,bigvul_166430,benign,0.9,,False
bigvul,bigvul_86883,benign,0.7,,False
bigvul,bigvul_32312,benign,0.9,,False
bigvul,bigvul_180886,vulnerable,0.95,CWE-120,False
bigvul,bigvul_173313,uncertain,0.3,,True
bigvul,bigvul_122420,benign,0.95,,False
diversevul,diversevul_103343,benign,0.95,,False
diversevul,diversevul_150757,uncertain,0.6,,True
diversevul,diversevul_794,benign,0.9,,False
diversevul,diversevul_9325,benign,0.9,,False
diversevul,diversevul_224521,uncertain,0.3,CWE-120,True
diversevul,diversevul_263914,benign,0.9,,False
diversevul,diversevul_274787,benign,0.7,,False
diversevul,diversevul_72179,uncertain,0.5,,True
diversevul,diversevul_137811,uncertain,0.3,CWE-120,True
diversevul,diversevul_162869,vulnerable,0.7,CWE-125,False
diversevul,diversevul_179548,benign,0.95,,False
diversevul,diversevul_242881,vulnerable,0.8,CWE-805,False
diversevul,diversevul_14769,benign,0.95,,False
diversevul,diversevul_282858,benign,0.9,,False
diversevul,diversevul_174644,benign,0.9,,False
diversevul,diversevul_238468,uncertain,0.3,,True
diversevul,diversevul_313407,benign,0.9,,False
diversevul,diversevul_90023,benign,0.7,,False
diversevul,diversevul_9891,vulnerable,0.95,CWE-126,False
diversevul,diversevul_218777,benign,0.7,,False
diversevul,diversevul_162906,benign,0.9,,False
diversevul,diversevul_291227,benign,0.7,,False
diversevul,diversevul_272743,vulnerable,0.95,CWE-125,False
diversevul,diversevul_135218,uncertain,0.6,,True
diversevul,diversevul_321062,benign,0.9,,False
diversevul,diversevul_11768,benign,0.9,,False
diversevul,diversevul_215425,uncertain,0.5,,True
diversevul,diversevul_35400,benign,1.0,,False
diversevul,diversevul_258031,benign,0.95,,False
diversevul,diversevul_134229,benign,0.95,,False
diversevul,diversevul_301654,uncertain,0.3,,True
diversevul,diversevul_247867,benign,0.9,,False
diversevul,diversevul_1199,vulnerable,0.9,CWE-476,False
diversevul,diversevul_232591,benign,0.95,,False
diversevul,diversevul_15886,uncertain,0.3,,True
diversevul,diversevul_4760,vulnerable,0.7,CWE-252,False
