sample_id,verdict,confidence,predicted_cwe,need_more_context
bigvul_95092,benign,0.9,,False
bigvul_62396,benign,0.95,,False
bigvul_33602,uncertain,0.0,,True
bigvul_64612,benign,0.7,,False
bigvul_187608,benign,0.9,,False
bigvul_1222,vulnerable,0.7,CWE-415,False
bigvul_187347,vulnerable,0.85,CWE-22,False
bigvul_183634,benign,0.7,,False
bigvul_183009,benign,0.95,,False
bigvul_97054,benign,0.95,,False
bigvul_6577,benign,0.95,,False
bigvul_10336,benign,0.95,,False
bigvul_134362,benign,0.95,,False
bigvul_51406,uncertain,0.3,CWE-122,True
bigvul_89027,benign,0.95,,False
bigvul_88835,benign,0.8,,False
bigvul_186411,benign,0.9,,False
bigvul_169566,benign,0.9,,False
bigvul_187901,uncertain,0.3,CWE-120,True
bigvul_180289,vulnerable,0.95,CWE-94,False
bigvul_168864,uncertain,0.5,,True
bigvul_177214,benign,0.9,,False
bigvul_70366,uncertain,0.5,,True
bigvul_79737,benign,0.9,,False
bigvul_2413,benign,0.8,,False
bigvul_180303,vulnerable,0.9,CWE-122,False
bigvul_66924,benign,0.9,,False
bigvul_40292,benign,0.9,,False
bigvul_88391,uncertain,0.5,,True
bigvul_113017,benign,0.95,,False
bigvul_150872,benign,0.95,,False
bigvul_186537,benign,0.9,,False
bigvul_35981,vulnerable,0.7,CWE-457,False
bigvul_105834,benign,0.95,,False
bigvul_162596,benign,0.9,,False
bigvul_183194,benign,0.8,,False
bigvul_11872,benign,0.95,,False
bigvul_74159,vulnerable,0.95,CWE-416,False
bigvul_56653,benign,0.8,,False
bigvul_113938,benign,0.9,,False
bigvul_96050,benign,0.9,,False
bigvul_157039,uncertain,0.6,,True
bigvul_81956,vulnerable,0.8,CWE-190,False
bigvul_167024,uncertain,0.0,,True
bigvul_166430,benign,0.9,,False
bigvul_86883,benign,0.7,,False
bigvul_32312,benign,0.9,,False
bigvul_180886,vulnerable,0.95,CWE-120,False
bigvul_173313,uncertain,0.3,,True
bigvul_122420,benign,0.95,,False
