sample_id,verdict,confidence,predicted_cwe,need_more_context
devign_20680,benign,0.9,,False
devign_1024,benign,0.95,,False
devign_133,benign,1.0,,False
devign_17412,vulnerable,0.8,CWE-190,False
devign_15827,benign,0.95,,False
devign_12061,benign,1.0,,False
devign_9445,benign,0.95,,False
devign_765,vulnerable,0.9,CWE-190,False
devign_8810,vulnerable,0.7,CWE-252,False
devign_7854,uncertain,0.5,,True
devign_21153,benign,1.0,,False
devign_12554,benign,0.95,,False
devign_1911,vulnerable,0.95,CWE-457,False
devign_12356,vulnerable,0.95,CWE-125,False
devign_20099,benign,0.95,,False
devign_21768,benign,0.6,,False
devign_22521,vulnerable,0.8,CWE-190,False
devign_9602,benign,0.9,,False
devign_1625,vulnerable,0.85,CWE-190,False
devign_18386,benign,0.95,,False
devign_15372,uncertain,0.4,,True
devign_6679,vulnerable,0.9,CWE-122,False
devign_19811,uncertain,0.5,,True
devign_23428,benign,0.9,,False
devign_1043,benign,0.7,,False
devign_17477,uncertain,0.6,,True
devign_19699,benign,0.95,,False
devign_25270,benign,0.9,,False
devign_22454,uncertain,0.5,,True
devign_16170,benign,0.95,,False
devign_15684,vulnerable,0.9,CWE-125,False
devign_17908,vulnerable,0.95,CWE-121,False
devign_3901,vulnerable,0.7,CWE-190,False
devign_3913,vulnerable,0.85,CWE-190,False
devign_24176,benign,0.9,,False
devign_10997,uncertain,0.5,,True
devign_19900,benign,0.9,,False
devign_12068,uncertain,0.6,,True
devign_2675,benign,0.95,,False
devign_14595,benign,0.95,,False
devign_27131,uncertain,0.3,,True
devign_21467,uncertain,0.4,,True
devign_12352,uncertain,0.3,,True
devign_26564,benign,0.9,,False
devign_8089,uncertain,0.5,,True
devign_22917,vulnerable,0.9,CWE-416,False
devign_9023,uncertain,0.6,,True
devign_19656,benign,0.9,,False
devign_10096,uncertain,0.0,,True
devign_11033,vulnerable,0.9,CWE-122,False
